plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type WagonName isDepDCDC
33 2 7 FO -251.160 1015.060 5 6 -251.200 918.400 -167.400 966.700 -167.400 1063.400 -251.200 1111.700 -334.900 1063.400 -334.900 966.700 -251.200 918.400 1 1 0.674 2.000 0.247 1.000 0.240 1.000 15 1 False 3 3.600 0 103.898 0 3302070 3302070 33300.000 33310.000 A A "" "F"
33 2 8 FO -334.880 1160.060 5 6 -334.900 1063.400 -251.200 1111.700 -251.200 1208.400 -334.900 1256.700 -418.600 1208.400 -418.600 1111.700 -334.900 1063.400 1 1 0.667 2.000 0.234 1.000 0.231 1.000 15 1 False 3 3.600 0 106.102 0 3302080 3302080 33300.000 33310.000 A A "" "F"
33 2 9 FO -418.600 1305.070 5 6 -418.600 1208.400 -334.900 1256.700 -334.900 1353.400 -418.600 1401.700 -502.300 1353.400 -502.300 1256.700 -418.600 1208.400 1 1 0.663 2.000 0.228 1.000 0.226 1.000 15 0 True 3 3.600 0 107.784 0 3302090 3302090 33300.000 33310.000 A A "" "F"
33 2 10 FO -502.320 1450.080 5 6 -502.300 1353.400 -418.600 1401.700 -418.600 1498.400 -502.300 1546.800 -586.000 1498.400 -586.000 1401.700 -502.300 1353.400 1 1 0.655 2.000 0.223 1.000 0.223 1.000 15 0 False 3 3.600 0 109.107 0 3302100 3302100 33300.000 33310.000 A A "" "F"
33 2 11 FO -586.040 1595.090 5 6 -586.000 1498.400 -502.300 1546.800 -502.300 1643.400 -586.000 1691.800 -669.800 1643.400 -669.800 1546.800 -586.000 1498.400 1 1 0.658 2.000 0.222 1.000 0.221 1.000 15 0 False 3 3.600 0 110.173 0 3302110 3302110 33300.000 33310.000 A A "" "F"
33 2 12 aOe -669.760 1740.100 2 4 -586.000 1788.400 -753.500 1691.800 -669.800 1643.400 -586.000 1691.800 -586.000 1788.400 0.000 0.000 0.000 0.000 1 1 0.646 1.000 0.144 1.000 0.144 1.000 15 0 False 3 3.600 0 111.052 0 3302120 3302120 33300.000 33310.000 A A "" "F"
33 3 0 FI 502.320 0.000 0 6 502.300 -96.700 586.000 -48.300 586.000 48.300 502.300 96.700 418.600 48.300 418.600 -48.300 502.300 -96.700 0 0 0.962 2.000 1.011 2.000 1.012 2.000 0 0 False 6 7.200 0 0.000 1 3303000 3303001 33000.000 33010.000 A A "" "F"
33 3 1 FIe 418.600 145.010 0 6 418.600 48.300 502.300 96.700 502.300 193.300 418.600 241.700 334.900 193.300 334.900 96.700 418.600 48.300 0 0 1.013 2.000 1.067 2.000 1.071 2.000 0 0 False 6 7.200 0 19.107 1 3303010 3303011 33000.000 33010.000 A A "" "F"
33 3 2 FIe 334.880 290.020 1 6 334.900 193.300 418.600 241.700 418.600 338.400 334.900 386.700 251.200 338.400 251.200 241.700 334.900 193.300 0 1 0.959 2.000 0.993 2.000 0.994 2.000 6 0 False 6 7.200 0 40.894 1 3303020 3303021 33100.000 33110.000 A A "" "F"
33 3 3 FI 251.160 435.020 1 6 251.200 338.400 334.900 386.700 334.900 483.400 251.200 531.700 167.400 483.400 167.400 386.700 251.200 338.400 1 0 0.867 2.000 0.852 1.000 0.853 1.000 1 0 False 6 7.200 0 60.000 1 3303030 3303031 33200.000 33210.000 A A "" "F"
33 3 4 FI 167.440 580.030 1 6 167.400 483.400 251.200 531.700 251.200 628.400 167.400 676.700 83.700 628.400 83.700 531.700 167.400 483.400 1 0 0.793 2.000 0.672 1.000 0.675 1.000 3 0 False 6 7.200 0 73.898 1 3303040 3303041 33200.000 33211.000 A B "" "F"
33 3 5 FI 83.720 725.040 1 6 83.700 628.400 167.400 676.700 167.400 773.400 83.700 821.700 0.000 773.400 0.000 676.700 83.700 628.400 1 0 0.742 2.000 0.513 1.000 0.512 1.000 3 0 False 6 7.200 0 83.413 1 3303050 3303051 33200.000 33211.000 A B "" "F"
33 3 6 FO 0.000 870.050 5 6 0.000 773.400 83.700 821.700 83.700 918.400 0.000 966.700 -83.700 918.400 -83.700 821.700 0.000 773.400 1 1 0.706 2.000 0.277 1.000 0.263 1.000 26 1 False 3 3.600 0 90.000 0 3303060 3303060 33301.000 33311.000 B B "" "F"
33 3 7 FO -83.720 1015.060 5 6 -83.700 918.400 0.000 966.700 0.000 1063.400 -83.700 1111.700 -167.400 1063.400 -167.400 966.700 -83.700 918.400 1 1 0.681 2.000 0.253 1.000 0.245 1.000 26 0 True 3 3.600 0 94.715 0 3303070 3303070 33301.000 33311.000 B B "" "F"
33 3 8 FO -167.440 1160.060 5 6 -167.400 1063.400 -83.700 1111.700 -83.700 1208.400 -167.400 1256.700 -251.200 1208.400 -251.200 1111.700 -167.400 1063.400 1 1 0.673 2.000 0.237 1.000 0.233 1.000 26 0 False 3 3.600 0 98.213 0 3303080 3303080 33301.000 33311.000 B B "" "F"
33 3 9 FO -251.160 1305.070 5 6 -251.200 1208.400 -167.400 1256.700 -167.400 1353.400 -251.200 1401.700 -334.900 1353.400 -334.900 1256.700 -251.200 1208.400 1 1 0.661 2.000 0.224 1.000 0.223 1.000 27 1 False 3 3.600 0 100.893 0 3303090 3303090 33301.000 33310.000 B A "" "F"
33 3 10 FO -334.880 1450.080 5 6 -334.900 1353.400 -251.200 1401.700 -251.200 1498.400 -334.900 1546.800 -418.600 1498.400 -418.600 1401.700 -334.900 1353.400 1 1 0.658 2.000 0.223 1.000 0.222 1.000 27 1 False 3 3.600 0 103.004 0 3303100 3303100 33301.000 33310.000 B A "" "F"
33 3 11 FO -418.600 1595.090 5 6 -418.600 1498.400 -334.900 1546.800 -334.900 1643.400 -418.600 1691.800 -502.300 1643.400 -502.300 1546.800 -418.600 1498.400 1 1 0.656 2.000 0.225 1.000 0.223 1.000 27 0 True 3 3.600 0 104.705 0 3303110 3303110 33301.000 33310.000 B A "" "F"
33 3 12 FOe -502.320 1740.100 5 6 -502.300 1643.400 -418.600 1691.800 -418.600 1788.400 -502.300 1836.800 -586.000 1788.400 -586.000 1691.800 -502.300 1643.400 1 1 0.649 2.000 0.220 1.000 0.219 1.000 27 0 False 3 3.600 0 106.102 0 3303120 3303120 33301.000 33310.000 B A "" "F"
33 4 0 FI 669.760 0.000 0 6 669.800 -96.700 753.500 -48.300 753.500 48.300 669.800 96.700 586.000 48.300 586.000 -48.300 669.800 -96.700 0 0 0.808 2.000 0.709 1.000 0.713 1.000 0 0 True 6 7.200 0 0.000 1 3304000 3304001 33000.000 33010.000 A A "" "F"
33 4 1 FI 586.040 145.010 0 6 586.000 48.300 669.800 96.700 669.800 193.300 586.000 241.700 502.300 193.300 502.300 96.700 586.000 48.300 0 0 0.813 2.000 0.769 1.000 0.772 1.000 2 0 False 6 7.200 0 13.898 1 3304010 3304011 33000.000 33010.000 A A "" "F"
33 4 2 FI 502.320 290.020 1 6 502.300 193.300 586.000 241.700 586.000 338.400 502.300 386.700 418.600 338.400 418.600 241.700 502.300 193.300 0 1 0.826 2.000 0.775 1.000 0.779 1.000 4 0 False 6 7.200 0 30.000 1 3304020 3304021 33100.000 33110.000 A A "" "F"
33 4 3 FI 418.600 435.020 1 6 418.600 338.400 502.300 386.700 502.300 483.400 418.600 531.700 334.900 483.400 334.900 386.700 418.600 338.400 0 1 0.799 2.000 0.707 1.000 0.710 1.000 6 0 False 6 7.200 0 46.102 1 3304030 3304031 33100.000 33110.000 A A "" "F"
33 4 4 FI 334.880 580.030 1 6 334.900 483.400 418.600 531.700 418.600 628.400 334.900 676.700 251.200 628.400 251.200 531.700 334.900 483.400 1 0 0.767 2.000 0.597 1.000 0.598 1.000 1 0 True 6 7.200 0 60.000 1 3304040 3304041 33200.000 33210.000 A A "" "F"
33 4 5 FI 251.160 725.040 1 6 251.200 628.400 334.900 676.700 334.900 773.400 251.200 821.700 167.400 773.400 167.400 676.700 251.200 628.400 1 0 0.743 2.000 0.485 1.000 0.484 1.000 3 0 True 6 7.200 0 70.893 1 3304050 3304051 33200.000 33211.000 A B "" "F"
33 4 6 FO 167.440 870.050 1 6 167.400 773.400 251.200 821.700 251.200 918.400 167.400 966.700 83.700 918.400 83.700 821.700 167.400 773.400 1 0 0.707 2.000 0.273 1.000 0.260 1.000 13 0 False 3 3.600 0 79.107 0 3304060 3304060 33200.000 33210.000 A A "" "F"
33 4 7 FO 83.720 1015.060 5 6 83.700 918.400 167.400 966.700 167.400 1063.400 83.700 1111.700 0.000 1063.400 0.000 966.700 83.700 918.400 1 1 0.688 2.000 0.247 1.000 0.241 1.000 25 1 False 3 3.600 0 85.285 0 3304070 3304070 33300.000 33310.000 A A "" "F"
33 4 8 FO 0.000 1160.060 5 6 0.000 1063.400 83.700 1111.700 83.700 1208.400 0.000 1256.700 -83.700 1208.400 -83.700 1111.700 0.000 1063.400 1 1 0.670 2.000 0.237 1.000 0.233 1.000 25 1 False 3 3.600 0 90.000 0 3304080 3304080 33300.000 33310.000 A A "" "F"
33 4 9 FO -83.720 1305.070 5 6 -83.700 1208.400 0.000 1256.700 0.000 1353.400 -83.700 1401.700 -167.400 1353.400 -167.400 1256.700 -83.700 1208.400 1 1 0.664 2.000 0.228 1.000 0.226 1.000 25 1 False 3 3.600 0 93.670 0 3304090 3304090 33300.000 33310.000 A A "" "F"
33 4 10 FO -167.440 1450.080 5 6 -167.400 1353.400 -83.700 1401.700 -83.700 1498.400 -167.400 1546.800 -251.200 1498.400 -251.200 1401.700 -167.400 1353.400 1 1 0.658 2.000 0.226 1.000 0.224 1.000 25 0 True 3 3.600 0 96.587 0 3304100 3304100 33300.000 33310.000 A A "" "F"
33 4 11 FO -251.160 1595.090 5 6 -251.200 1498.400 -167.400 1546.800 -167.400 1643.400 -251.200 1691.800 -334.900 1643.400 -334.900 1546.800 -251.200 1498.400 1 1 0.657 2.000 0.223 1.000 0.222 1.000 25 0 False 3 3.600 0 98.948 0 3304110 3304110 33300.000 33310.000 A A "" "F"
33 4 12 FOe -334.880 1740.100 5 6 -334.900 1643.400 -251.200 1691.800 -251.200 1788.400 -334.900 1836.800 -418.600 1788.400 -418.600 1691.800 -334.900 1643.400 1 1 0.651 2.000 0.219 1.000 0.218 1.000 25 0 False 3 3.600 0 100.893 0 3304120 3304120 33300.000 33310.000 A A "" "F"
33 5 0 FO 837.200 0.000 0 6 837.200 -96.700 920.900 -48.300 920.900 48.300 837.200 96.700 753.500 48.300 753.500 -48.300 837.200 -96.700 0 0 0.742 2.000 0.343 1.000 0.313 1.000 8 0 False 3 3.600 0 0.000 0 3305000 3305000 33000.000 33010.000 A A "" "F"
33 5 1 FI 753.480 145.010 0 6 753.500 48.300 837.200 96.700 837.200 193.300 753.500 241.700 669.800 193.300 669.800 96.700 753.500 48.300 0 0 0.761 2.000 0.557 1.000 0.558 1.000 2 0 True 6 7.200 0 10.894 1 3305010 3305011 33000.000 33010.000 A A "" "F"
33 5 2 FI 669.760 290.020 0 6 669.800 193.300 753.500 241.700 753.500 338.400 669.800 386.700 586.000 338.400 586.000 241.700 669.800 193.300 0 0 0.757 2.000 0.577 1.000 0.578 1.000 2 0 False 6 7.200 0 23.414 1 3305020 3305021 33000.000 33010.000 A A "" "F"
33 5 3 FI 586.040 435.020 1 6 586.000 338.400 669.800 386.700 669.800 483.400 586.000 531.700 502.300 483.400 502.300 386.700 586.000 338.400 0 1 0.753 2.000 0.542 1.000 0.543 1.000 4 0 True 6 7.200 0 36.587 1 3305030 3305031 33100.000 33110.000 A A "" "F"
33 5 4 FI 502.320 580.030 1 6 502.300 483.400 586.000 531.700 586.000 628.400 502.300 676.700 418.600 628.400 418.600 531.700 502.300 483.400 0 1 0.745 2.000 0.488 1.000 0.487 1.000 6 0 True 6 7.200 0 49.107 1 3305040 3305041 33100.000 33110.000 A A "" "F"
33 5 5 FO 418.600 725.040 1 6 418.600 628.400 502.300 676.700 502.300 773.400 418.600 821.700 334.900 773.400 334.900 676.700 418.600 628.400 1 0 0.723 2.000 0.291 1.000 0.273 1.000 9 0 False 3 3.600 0 60.000 0 3305050 3305050 33200.000 33210.000 A A "" "F"
33 5 6 FO 334.880 870.050 1 6 334.900 773.400 418.600 821.700 418.600 918.400 334.900 966.700 251.200 918.400 251.200 821.700 334.900 773.400 1 0 0.694 2.000 0.264 1.000 0.254 1.000 11 0 False 3 3.600 0 68.948 0 3305060 3305060 33200.000 33210.000 A A "" "F"
33 5 7 FO 251.160 1015.060 1 6 251.200 918.400 334.900 966.700 334.900 1063.400 251.200 1111.700 167.400 1063.400 167.400 966.700 251.200 918.400 1 0 0.684 2.000 0.249 1.000 0.242 1.000 13 0 False 3 3.600 0 76.102 0 3305070 3305070 33200.000 33210.000 A A "" "F"
33 5 8 FO 167.440 1160.060 1 6 167.400 1063.400 251.200 1111.700 251.200 1208.400 167.400 1256.700 83.700 1208.400 83.700 1111.700 167.400 1063.400 1 0 0.671 2.000 0.237 1.000 0.233 1.000 19 0 False 3 3.600 0 81.787 0 3305080 3305080 33200.000 33210.000 A A "" "F"
33 5 9 FO 83.720 1305.070 5 6 83.700 1208.400 167.400 1256.700 167.400 1353.400 83.700 1401.700 0.000 1353.400 0.000 1256.700 83.700 1208.400 1 1 0.663 2.000 0.229 1.000 0.227 1.000 23 1 False 3 3.600 0 86.330 0 3305090 3305090 33300.000 33310.000 A A "" "F"
33 5 10 FO 0.000 1450.080 5 6 0.000 1353.400 83.700 1401.700 83.700 1498.400 0.000 1546.800 -83.700 1498.400 -83.700 1401.700 0.000 1353.400 1 1 0.658 2.000 0.223 1.000 0.222 1.000 23 1 False 3 3.600 0 90.000 0 3305100 3305100 33300.000 33310.000 A A "" "F"
33 5 11 FO -83.720 1595.090 5 6 -83.700 1498.400 0.000 1546.800 0.000 1643.400 -83.700 1691.800 -167.400 1643.400 -167.400 1546.800 -83.700 1498.400 1 1 0.658 2.000 0.222 1.000 0.221 1.000 23 0 True 3 3.600 0 93.004 0 3305110 3305110 33300.000 33310.000 A A "" "F"
33 5 12 FOe -167.440 1740.100 5 6 -167.400 1643.400 -83.700 1691.800 -83.700 1788.400 -167.400 1836.800 -251.200 1788.400 -251.200 1691.800 -167.400 1643.400 1 1 0.648 2.000 0.219 1.000 0.218 1.000 23 0 False 3 3.600 0 95.496 0 3305120 3305120 33300.000 33310.000 A A "" "F"
33 5 13 dOe -251.160 1885.100 1 5 -167.400 1836.800 -167.400 1885.100 -334.900 1885.100 -334.900 1836.800 -251.200 1788.400 -167.400 1836.800 0.000 0.000 1 1 0.646 1.000 0.144 1.000 0.144 1.000 23 0 False 2 2.400 0 97.589 0 3305130 3305130 33300.000 33310.000 A A "" "F"
33 6 0 FO 1004.640 0.000 0 6 1004.600 -96.700 1088.400 -48.300 1088.400 48.300 1004.600 96.700 920.900 48.300 920.900 -48.300 1004.600 -96.700 0 0 0.701 2.000 0.265 1.000 0.254 1.000 8 0 False 3 3.600 0 0.000 0 3306000 3306000 33000.000 33010.000 A A "" "F"
